Params,Score
"{'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.9903391465734732
"{'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",0.9903391465734732
"{'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.9896586459770125
"{'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",0.9896586459770125
"{'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",0.9897950155113019
"{'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",0.9903391465734732
"{'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",0.9891145378760205
"{'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",0.9896586459770125
"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.9701794800962775
"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.9868002242438598
"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.9700431365087331
"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.9865281003334327
"{'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",0.9689575736528141
"{'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",0.9859834836931878
"{'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",0.9689577385995559
"{'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",0.9858474468064469
"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.9561188569176317
"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.9832603602141374
"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.9552981948464213
"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.9832604776618743
"{'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}",0.9557182229359729
"{'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",0.9820348133535024
"{'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}",0.9549663156332511
"{'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",0.9826477345093414
"{'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.9410624165625713
"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.9806047316329414
"{'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.9402389411275752
"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.9808091052420306
"{'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}",0.9407411390368476
"{'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",0.9793106542207154
"{'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",0.9400554777568949
"{'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",0.97917446535836
"{'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.9271983529589347
"{'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.9776757355089917
"{'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.9278856519528726
"{'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.9776757403173315
"{'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",0.9250501560134408
"{'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",0.9763130874054571
"{'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.9258690630938183
"{'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",0.9762447656349135
