Params,Score
"{'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.7985965201389746
"{'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",0.7985965201389746
"{'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.8085321874393065
"{'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",0.8085321874393065
"{'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",0.7842297730186562
"{'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",0.8031352933790827
"{'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",0.789215017176892
"{'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",0.8130709606794145
"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.8524851637671438
"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.8124885234034288
"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.8530999856787769
"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.8176245210727968
"{'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",0.8558040977067674
"{'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",0.8124885234034288
"{'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",0.8568902266316059
"{'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",0.8130709606794145
"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.8656440822940639
"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.8171409590903472
"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.8572957852444318
"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.8176245210727968
"{'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}",0.8657320414105731
"{'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",0.8176245210727968
"{'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}",0.8624388097654689
"{'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",0.8176245210727968
"{'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.8615477599413455
"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.8176245210727968
"{'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.8707838956865654
"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.8218452601656161
"{'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}",0.8615477599413455
"{'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",0.8176245210727968
"{'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",0.8750178377699698
"{'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",0.8218452601656161
"{'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.8615477599413455
"{'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.8218452601656161
"{'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.8750178377699698
"{'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.8218452601656161
"{'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",0.8575023947131845
"{'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",0.8218452601656161
"{'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.8760729342616624
"{'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",0.8218452601656161
