Params,Score
"{'priors': None, 'var_smoothing': 1e-09}",0.6771345066769052
"{'priors': None, 'var_smoothing': 1e-05}",0.7464218478837268
"{'priors': None, 'var_smoothing': 0.001}",0.7627627787000634
"{'priors': None, 'var_smoothing': 0.01}",0.7638794862591025
"{'priors': None, 'var_smoothing': 0.1}",0.6851736916163336
"{'priors': None, 'var_smoothing': 0.5}",0.593432071372874
"{'priors': None, 'var_smoothing': 1.0}",0.5612387716470211
"{'priors': None, 'var_smoothing': 2.0}",0.5270951637877763
"{'priors': None, 'var_smoothing': 5.0}",0.5035669405135303
"{'priors': [0.85, 0.15], 'var_smoothing': 1e-09}",0.7021623456690653
"{'priors': [0.85, 0.15], 'var_smoothing': 1e-05}",0.7299219859210345
"{'priors': [0.85, 0.15], 'var_smoothing': 0.001}",0.6435764407690426
"{'priors': [0.85, 0.15], 'var_smoothing': 0.01}",0.6344873948340392
"{'priors': [0.85, 0.15], 'var_smoothing': 0.1}",0.46411046381128623
"{'priors': [0.85, 0.15], 'var_smoothing': 0.5}",0.3333333333333333
"{'priors': [0.85, 0.15], 'var_smoothing': 1.0}",0.3333333333333333
"{'priors': [0.85, 0.15], 'var_smoothing': 2.0}",0.3333333333333333
"{'priors': [0.85, 0.15], 'var_smoothing': 5.0}",0.3333333333333333
"{'priors': [0.9, 0.1], 'var_smoothing': 1e-09}",0.717222452358199
"{'priors': [0.9, 0.1], 'var_smoothing': 1e-05}",0.7049673863947278
"{'priors': [0.9, 0.1], 'var_smoothing': 0.001}",0.6279982466343768
"{'priors': [0.9, 0.1], 'var_smoothing': 0.01}",0.6176516840095482
"{'priors': [0.9, 0.1], 'var_smoothing': 0.1}",0.3480476380099554
"{'priors': [0.9, 0.1], 'var_smoothing': 0.5}",0.3333333333333333
"{'priors': [0.9, 0.1], 'var_smoothing': 1.0}",0.3333333333333333
"{'priors': [0.9, 0.1], 'var_smoothing': 2.0}",0.3333333333333333
"{'priors': [0.9, 0.1], 'var_smoothing': 5.0}",0.3333333333333333
"{'priors': [0.95, 0.05], 'var_smoothing': 1e-09}",0.7287813543041504
"{'priors': [0.95, 0.05], 'var_smoothing': 1e-05}",0.6408260062257709
"{'priors': [0.95, 0.05], 'var_smoothing': 0.001}",0.6158750613574515
"{'priors': [0.95, 0.05], 'var_smoothing': 0.01}",0.598924922891865
"{'priors': [0.95, 0.05], 'var_smoothing': 0.1}",0.3351427447580356
"{'priors': [0.95, 0.05], 'var_smoothing': 0.5}",0.3333333333333333
"{'priors': [0.95, 0.05], 'var_smoothing': 1.0}",0.3333333333333333
"{'priors': [0.95, 0.05], 'var_smoothing': 2.0}",0.3333333333333333
"{'priors': [0.95, 0.05], 'var_smoothing': 5.0}",0.3333333333333333
